ID,TAG,NAME,E_NAME,SYM,COL,CAMP,NUM,RACE1,RACE2,SEX,CLASS,PATRON,CHARA,RELM1,RELM2,LEV,RARE,SPELL,EXP,N_EXP,N_MIN,AGE,SC,WEALTH,FATHER,MOTHER,DV,SP,VIS,AC,EV,VO,ALERT,STR,INT,WIS,DEX,CON,CHA,BONUS,M_HB,M_HM,M_WB,M_WM,F_HB,F_HM,F_WB,F_WM,HAND,RING,AMULET,BODY,OUTER,HEAD,ARMS,FEET,TAIL,SP_MELEE,BATTLE,UNDERLING,ARTIFACT,FLAG,AUTHORITY,DESCRIPTION,E_DESCRIPTION,COMMENT,,,,
710,710,ファイア・ドレイク『イタンガスト』,Itangast the Fire Drake,D,r,0,-1,DRAGON,DRAGON,0x02,WARRIOR,NONE,ORDINARY,NONE,NONE,47,4,50,20000,0,0,0,0,200,NONE,NONE,1,10,20,100,0,0,70,23,23,23,23,23,23,5,1500,30,11000000,10,1500,30,11000000,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:1d10
CLAW:HURT:1d10
BITE:HURT:3d14
BITE:HURT:4d14",,,UNIQUE|FORCE_SLEEP|CAN_FLY|BASH_DOOR|POWERFUL|MOVE_BODY|SELF_LITE_2|IM_FIRE|NO_CONF|NO_SLEEP|RIDING|CONF|CAUSE_3|BR_FIRE,,"古代の屈強なドラゴンであるイタンガストは、そこに立っているだけでも冒険者の
肉体を焦がしてしまうほどの熱気を帯びている。彼が冒険者を軽蔑的な眼差しで
見つめるとき、その鼻孔からは幾筋もの煙が吹き上がる。","A mighty ancient dragon, Itangast's form scorches your flesh.  Wisps of 
smoke curl up from his nostrils as he regards you with disdain.


",J0#,,,,
711,711,デス・モルド,Death mold,m,D,0,-1,MOLD,MOLD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,47,1,50,1000,0,0,0,0,200,NONE,NONE,0,30,200,60,0,0,0,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"SPORE:UN_BONUS:7d7
SPORE:UN_BONUS:7d7
SPORE:UN_BONUS:7d7
SPORE:EXP_VAMP:5d5",,,FORCE_SLEEP|CAN_SWIM|IM_ACID|IM_FIRE|IM_COLD|IM_ELEC|IM_POIS|NO_CONF|NO_SLEEP|FEARLESS,,"それはカビに包まれた全ての邪悪の権化だ。この魂のないモンスターは近づいた者の
生命力を吸い取って力を得る。それは生々しい邪悪の雰囲気に覆われている。
冒険者にとって幸運なことに、それは動くことができない。","It is the epitome of all that is evil, in a mold.  Its lifeless form draws 
power from sucking the souls of those that approach it, a nimbus of pure 
evil surrounds it.  Luckily for you, it can't move.


",J0#,,,,
712,712,竜の『ファフナー』,Fafner the Dragon,D,G,0,-1,DRAGON,DRAGON,0x02,ROGUE,NONE,ORDINARY,SORCERY,NONE,47,4,50,25000,0,0,0,0,200,NONE,NONE,3,10,20,100,0,0,70,23,23,23,23,23,23,5,1500,30,11000000,10,1500,30,11000000,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:4d10
CLAW:HURT:4d10
BITE:FIRE:14d6
BITE:POISON:14d6",,,UNIQUE|FORCE_SLEEP|CAN_SPEAK|BASH_DOOR|POWERFUL|MOVE_BODY|RIDING|SELF_LITE_2|IM_FIRE|NO_CONF|NO_SLEEP|IM_POIS|BR_FIRE|BR_POIS|SCARE|CAUSE_3|CONF,,"北欧神話の強大な竜であるファフナーは元々巨人だったが、
自分の兄弟を殺して財宝を手に入れ、自ら竜に変身して財宝を
貪欲に見張るようになった。","The mighty dragon of the Norse myth, Fafner was a giant who slew his 
brother to win a treasure hoard, and then transformed himself into 
a dragon, greedily watching over his hoard.


","JZ#
JZ#竜のファフナー
JZ#リヒャルト・ヴァーグナーの楽劇「ニーベルングの指環」に登場した
JZ#巨人です。
JZ#魔法の指環をめぐって兄弟のファゾルトにを殺し、竜に変身してその
JZ#財宝を守っていましたが、ジークフリードに退治されました。 by 久留さん",,,,
713,713,木の鬚『ファンゴルン』,Fangorn,#,G,0,-1,ENT,ENT,0x02,WARRIOR,NONE,ORDINARY,NONE,NONE,47,3,50,13500,0,0,23771,0,200,NONE,NONE,4,10,30,120,0,0,15,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CRUSH:HURT:12d13
CRUSH:HURT:12d13
CRUSH:HURT:12d13
CRUSH:HURT:12d13",,,UNIQUE|CAN_SPEAK|HURT_FIRE|FORCE_SLEEP|MOVE_BODY|SMART|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FRIENDLY,,"ヴァラを除いてアルダにおいて最初に目覚めたのは彼である。
エントの最長老で、尊敬し畏怖されている古えの存在だ。","The oldest of all ents, a respected and feared ancient creature.

",,,,,
714,714,双子のひわいなるもの『ツァール』,Zhar the Twin Obscenity,R,D,0,-1,REPTILIA,REPTILIA,0x03,NONE,NONE,ORDINARY,NONE,NONE,47,3,50,15000,0,0,0,0,200,NONE,NONE,6,10,30,120,0,0,15,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CRUSH:HURT:23d13
CRUSH:HURT:23d13
CRUSH:HURT:23d13",,,FORCE_SLEEP|UNIQUE|ELDRITCH_HORROR|KILL_BODY|SMART|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|CAN_SWIM|S_DEMON|SHRIEK|CONF|SCARE|MIND_BLAST|BLIND,,"中国のツァン高原の地下にある、死滅した都市アラオザルに棲む２匹の怪物。
盛り上がった肉塊に、無数の触手が生えており、「ホゥーホゥー」という吼え声
を発している。
ツァールは２つの体を持っているのか、触手で繋がっているのか、定かではない。
「不気味な緑色の薄闇のなかにうずくまっているものは、慄然たる恐怖
にみなぎる生ける塊、感覚をもって震える凶まがしい肉の山であって、
その触腕が地下洞窟のいたるところに長ながとのばされ、異様な唸るよ
うな音を発している一方、生物の体のなかからは蕭然たる音が発せられ
ていたからだった」
(オーガスト・ダーレス＆マーク・スコラー、後藤敏夫訳「潜伏するもの」
『クトゥルー８』、青心社文庫、p.154)","""The thing that crouched in the weird green dusk was a living mass 
of shuddering horror, a ghastly mountain of sensate, quivering 
flesh, whose tentacles, far-flung in the dim reaches of the 
subterranean cavern, emitted a strange humming sound, while from 
the depths of the creature's body came a weird and horrific 
undulation.""
２


２





(＆
８p.154)","JZ#
JZ#双子のひわいなるものツァール
JZ#オーガスト・ダーレス＆マーク・スコラーの「潜伏するもの」に登場。
JZ#ビルマ奥地の廃都アラオザルでトゥチョ＝トゥチョ人に崇拝されてい
JZ#る神です、双子の片割れはロイガーと呼ばれますが、上記のロイガー
JZ#との関係は不詳です。 by 久留さん
JZ#引用は久留さん、解説は NeSYS さんによる",,,,
715,715,ドラゴン族の祖『グラウルング』,"Glaurung, Father of the Dragons",D,r,0,-1,DRAGON,DRAGON,0x02,RED_MAGE,NONE,ORDINARY,NONE,NONE,76,2,50,25000,0,0,19871,0,200,NONE,NONE,13,10,20,120,0,0,70,23,23,23,23,23,23,5,1500,30,11000000,10,1500,30,11000000,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:7d12
CLAW:HURT:7d12
BITE:HURT:8d14
BITE:HURT:8d14",,,UNIQUE|CAN_SWIM|FORCE_SLEEP|SELF_LITE_2|BASH_DOOR|POWERFUL|MOVE_BODY|CAN_SPEAK|IM_FIRE|NO_CONF|NO_SLEEP|RIDING|CONF|CAUSE_3|BR_FIRE|S_DRAGON,,"グラウルングは全てのドラゴン族の祖であり、長きに渡って最強の座を誇ってい
る。彼は自分の一族にはどんな命令でも与えることができ、好きなときに召喚する
こともできる。彼の吐く火炎こそが、本物のドラゴンの火炎なのである。","Glaurung is the father of all dragons, and was for a long time the most 
powerful.  Nevertheless, he still has full command over his brood and can 
command them to appear whenever he so wishes.  He is the definition of 
dragonfire.


",J0#,,,,
716,716,ベヒーモス,Behemoth,H,g,0,-1,QUADRUPED,QUADRUPED,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,64,3,50,953000,0,0,0,0,200,NONE,NONE,3,15,25,180,0,0,30,28,28,28,28,28,28,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:FIRE:8d8
BITE:FIRE:8d8
CRUSH:SUPERHURT:5d15
CRUSH:SUPERHURT:5d15",,,FORCE_SLEEP|CAN_SWIM|IM_FIRE|IM_ACID|IM_COLD|IM_POIS|NO_CONF|NO_SLEEP|FEARLESS|RIDING|BR_FIRE,,巨大な海獣で、その表皮はほとんど貫通不能だ。,"A great water-beast, with an almost unpenetrable skin.
","JZ#
JZ#旧約聖書「ヨブ記」で言及される怪物です。
JZ#象の頭をして腹の出た姿で描かれます。 by 久留さん
JZ#FFシリーズ等で広まった読み方にしました。 by 板倉",,,,
717,717,地獄の番犬『ガルム』,"Garm, Guardian of Hel",C,u,0,-1,CANINE,CANINE,0x02,WARRIOR,NONE,ORDINARY,NONE,NONE,49,2,50,22000,0,0,0,0,200,NONE,NONE,3,10,20,120,0,0,70,23,23,23,23,23,23,5,1231,0,318710,0,1231,0,318710,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:7d13
CLAW:HURT:7d13
BITE:HURT:8d13
BITE:HURT:8d13",,,UNIQUE|FORCE_SLEEP|OPEN_DOOR|BASH_DOOR|MOVE_BODY|RES_NETH|RES_DARK|IM_FIRE|NO_CONF|NO_SLEEP|BR_NETH|BR_COLD|BR_DARK|S_HOUND|S_UNDEAD,,"ガルムは巨大な猟犬だ。心が捻曲がった者や臆病な死に方をした者の魂が
罰を受けている地獄で何者も逃がさないように見張っている。","Garm is a gigantic hound, whose job is to guard that none escapes 
the tortures of Hel, the Norse place of punishment for the wicked 
and cowardly dead.

","JZ#
JZ#地獄の番犬ガルム
JZ#北欧神話において「犬の中で最高のもの」と呼ばれています。
JZ#この魔犬を繋ぎ止めるため、軍神チュールが片手を失った神話が有名
JZ#です。ラグナロクではチュールと戦って相打ちになります。 by 久留さん",,,,
718,718,長老岩,Greater wall monster,#,W,0,-1,MIMIC,MIMIC,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,50,4,50,500,0,0,0,0,200,NONE,NONE,0,10,20,80,0,0,20,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:3d6
HIT:HURT:3d6
HIT:HURT:3d6",,,FORCE_SLEEP|COLD_BLOOD|EMPTY_MIND|PASS_WALL|RAND_50|MULTIPLY|BASH_DOOR|IM_COLD|IM_ACID|IM_FIRE|IM_ELEC|IM_POIS|NONLIVING|HURT_ROCK|NO_CONF|NO_SLEEP|CHAR_MULTI|CAN_FLY|RES_SHAR,,意識を持った、動き回る壁の一部だ。,"A sentient, moving section of wall.
","JZ#
JZ#(コメント)訳は 閑丸さん",,,,
719,719,ニカデーモン,Nycadaemon,U,o,0,-1,DEMON,DEMON,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,50,3,50,10000,100000,812,0,0,200,NONE,NONE,0,10,20,80,0,0,80,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"TOUCH:TERRIFY
CLAW:HURT:6d6
CLAW:HURT:6d6
CLAW:HURT:6d6",,,FORCE_SLEEP|AURA_FIRE|NONLIVING|REGENERATE|IM_ACID|IM_COLD|IM_FIRE|CAN_FLY|NO_SLEEP|NO_STUN|NO_CONF|INVISIBLE|KILL_WALL|HOLD|BLINK|CONF|S_DEMON|BRAIN_SMASH|BR_NETH,,禍々しく、頑強で、翼を持ち、角が生えた悪魔で、その爪は石の壁をも切り裂く。,"A loathsome, sturdy, winged, horned demon, with talons that could tear 
a stone wall down
",,,,,
720,720,グレーター・バルログ,Greater Balrog,U,R,0,-1,MAIAR,MAIAR,VARIABLE,VARIABLE,861,VARIABLE,VARIABLE,VARIABLE,72,3,50,800000,0,0,30981,70,200,NONE,NONE,14,10,20,80,0,0,80,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:FIRE:2d6
HIT:HURT:5d6
HIT:FIRE:6d2
HIT:HURT:6d5",,,FORCE_SLEEP|AURA_FIRE|CAN_FLY|SELF_LITE_1|NONLIVING|OPEN_DOOR|BASH_DOOR|POWERFUL|MOVE_BODY|SMART|IM_FIRE|NO_CONF|NO_SLEEP|KILL_WALL|BLIND|CONF|BRAIN_SMASH|BR_FIRE|BO_PLAS|BA_NETH|S_HI_UNDEAD|S_UNDEAD|S_DEMON,,"　創世の時代よりメルコールと共に、イルーヴァタールの作為に反逆し、ウドゥンの焔をその身にまとった強大なウトゥムノの神族だ。
　中でも彼等はそのほとんどが創世の歌の業や、アルダ上古の時代に続いた万年の動乱を知る世代である。ウルク、オログ、アヴァリを中心に、あらゆる東方の民の祖神として崇められる彼等の力は、西方の民の伝承で「メルコールに唆されて堕落した」という言い様に反し、衰えるばかりか民と共にいや増しているようにすら思われる。",,"JZ#バルログ
JZ#Ｊ・Ｒ・Ｒ・トールキンの「指輪物語」に登場。
JZ#メルコールの召使いになったマイアールが悪鬼と化したもので、中つ
JZ#国の言葉で「力強き悪鬼」を意味します。メルコールの支配が終わる
JZ#とともにほとんど絶滅しましたが、一部がモリヤで復活していました。 by 久留さん
JZ#Jangband にはいなかったんですね。意外。 by 板倉",,,,
721,721,メンデスの山羊,Goat of Mendes,q,D,0,-1,DEMON,DEMON,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,50,3,50,6666,0,0,0,0,200,NONE,NONE,0,10,30,66,0,0,40,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"GAZE:TERRIFY
BUTT:HURT:6d6
BITE:EXP_40
BITE:LOSE_CON",,,FORCE_SLEEP|OPEN_DOOR|BASH_DOOR|POWERFUL|MOVE_BODY|SMART|NONLIVING|NO_CONF|NO_SLEEP|HURT_LITE|IM_FIRE|IM_COLD|RES_DARK|BLIND|CONF|BRAIN_SMASH|SCARE|ANIM_DEAD|BA_NETH|FORGET|S_UNDEAD|DRAIN_MANA|S_DEMON|CAUSE_4|BA_COLD,,"地獄の最下層から来た悪魔で、大きな黒い山羊のような姿をしている。
（デニス・ホイートリー、『黒魔団』、
「デニス・ホイートリー黒魔術小説傑作選」国書刊行会ほか）","It is a demonic creature from the lowest hell, vaguely resembling a 
large black he-goat.

（
）",,,,,
722,722,ナイトウィング,Nightwing,W,D,0,-1,WRAITH,WRAITH,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,50,4,50,6000,0,0,0,0,200,NONE,NONE,0,10,20,120,0,0,10,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"TOUCH:POISON:3d5
TOUCH:POISON:3d5
HIT:UN_BONUS:6d8
HIT:DR_MANA:5d10",,,FORCE_SLEEP|CAN_FLY|SMART|COLD_BLOOD|OPEN_DOOR|BASH_DOOR|RES_TELE|RES_NETH|IM_COLD|IM_POIS|RES_DARK|HURT_LITE|NO_CONF|NO_SLEEP|BLIND|SCARE|CAUSE_4|BRAIN_SMASH|BO_MANA|BO_NETH|BA_NETH|S_UNDEAD,,"大気が寒々しく、青白くなっている所がある。その冷気の中心に立っているのが
ナイトウィングなのだ。ナイトウィングはその翼で冒険者を死の冷気に包み込み、
その手を伸ばして冒険者を忘却の世界へと引きずり込もうとする。
この恐るべき強敵が発散する気に包まれると、肉体は弛緩し、戦おうとする勇気など
はどこかに吹き飛んでしまう。","Everywhere colours seem paler and the air chiller.  At the centre of the 
cold stands a mighty figure.  Its wings envelop you in the chill of death 
as the nightwing reaches out to draw you into oblivion.  Your muscles sag 
and your mind loses all will to fight as you stand in awe of this mighty 
being.




",J0#,,,,
723,723,マウロタウロス,Maulotaur,H,u,0,-1,MINOTAUR,MINOTAUR,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,50,2,50,109218,0,0,0,0,200,NONE,NONE,0,20,13,50,0,0,10,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:SHATTER:8d8
HIT:SHATTER:8d8
BUTT:HURT:4d6
BUTT:HURT:4d6",,,RES_TELE|BASH_DOOR|STUPID|IM_FIRE|FORCE_SLEEP|BO_PLAS|BA_FIRE,,破壊的な魔法の火器を持ち、ハンマーを装備した好戦的なミノタウロスだ。,"It is a belligrent minotaur with some destructive magical arsenal, armed 
with a hammer.
",,,,,
724,724,冥界ハウンド,Nether hound,Z,D,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,32,2,50,800,0,0,0,0,200,NONE,NONE,-1,10,30,100,0,0,0,15,12,12,17,11,13,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d12
BITE:HURT:2d12
BITE:HURT:2d12
CLAW:HURT:3d3",,,FORCE_SLEEP|SELF_DARK_1|FRIENDS|RES_NETH|OPEN_DOOR|BASH_DOOR|NO_CONF|NO_SLEEP|BR_NETH,,"この野獣に相対すると魂が引き裂かれるような冷気を感じる。
この暗黒のゴーストのようなモンスターは大きな犬の姿をしている。","You feel a soul-tearing chill upon viewing this beast, a ghostly form of 
darkness in the shape of a large dog.

",J0#,,,,
725,725,タイム・ハウンド,Time hound,Z,G,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,46,4,50,3000,0,0,0,0,200,NONE,NONE,-1,10,30,100,0,0,0,15,12,12,17,11,13,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d12
BITE:HURT:2d12
BITE:HURT:2d12
CLAW:HURT:3d3",,,FORCE_SLEEP|FRIENDS|OPEN_DOOR|BASH_DOOR|RES_TIME|NO_CONF|NO_SLEEP|BR_TIME,,"デジャヴの様な感じを覚えるが、気のせいなのだろうか？一見すると小さな子犬
か歯の抜けた老犬のようだ。それと戦うのは諦めてとっとと寝るべきだ。","You get a terrible sense of deja vu, or is it a premonition?  All at once 
you see a little puppy and a toothless old dog.  Perhaps you should give 
up and go to bed.
？
",J0#,,,,
726,726,プラズマ・ハウンド,Plasma hound,Z,R,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,36,2,50,1000,0,0,0,0,200,NONE,NONE,-1,10,30,100,0,0,0,17,17,17,17,17,17,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d12
BITE:HURT:2d12
BITE:HURT:2d12
CLAW:HURT:3d3",,,FORCE_SLEEP|FRIENDS|RES_PLAS|SELF_LITE_2|OPEN_DOOR|BASH_DOOR|IM_ELEC|IM_FIRE|NO_CONF|NO_SLEEP|BR_PLAS,,"巨大な犬の姿をした純粋なエネルギーの塊だ。このモンスターが
近づいてくると辺りの大気がゆがみはじめる。冒険者の肉体は恐怖を察知して、
髪の毛は逆立ち、手は汗ばんでくる。","The very air warps as pure elemental energy stalks towards you in the 
shape of a giant hound.  Your hair stands on end and your palms itch as 
you sense trouble.


",J0#,,,,
727,727,デーモン・クイルスルグ,Demonic quylthulg,Q,R,0,-1,QUYLTHLUG,QUYLTHLUG,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,44,1,48,89400,0,0,0,0,200,NONE,NONE,-1,10,20,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,,,,S_DEMON,,"脈動する肉の塊で、その内部は地獄の業火に輝いている。この世界そのものが
このモンスターの存在を嫌悪しているように感じる。","A pile of pulsing flesh that glows with an inner hellish fire.  The world 
itself seems to cry out against it.

",J0#,,,,
728,728,ストーム・ワイアーム,Great Storm Wyrm,D,b,0,-1,DRAGON,DRAGON,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,56,5,50,13000,0,0,0,0,200,NONE,NONE,3,10,30,150,0,0,80,27,27,27,27,27,27,5,3000,200,22870000,500,3000,200,22870000,500,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:4d12
CLAW:HURT:4d12
CLAW:HURT:4d12
BITE:ELEC:5d14",,,FORCE_SLEEP|AURA_ELEC|CAN_FLY|SELF_LITE_2|BASH_DOOR|POWERFUL|MOVE_BODY|IM_ELEC|NO_CONF|NO_SLEEP|RIDING|BLIND|CONF|SCARE|BR_ELEC,,"力に満ちた巨大なドラゴンだ。その山のような体の回りには嵐が巻き起こり、稲妻
が光っている。
深い青色のうろこが光を反射して、この生物の隆々たる筋肉を浮き彫りにしている。
それは冒険者を軽蔑すべき者とみなしている。","A vast dragon of power.  Storms and lightning crash around its titanic 
form.  Deep blue scales reflect the flashes and highlight the creature's 
great muscles.  It regards you with contempt.



","J0#
J0#
J0#(コメント)
J0# ワイアームについてはすべて「グレート」がつくのだが、文字数をかせぐため
J0# (スペースキーを押す回数を減らすため)グレートをはぶいてある。
J0#
J0# また「ウィルム」「ワーム」という読み方も聞きましたが、「ワイアーム」が
J0# 一番気に入りましたので、そうしてあります。
J0#",,,,
729,729,トロルの『ウリク』,Ulik the Troll,T,o,0,-1,OLOG,OLOG,0x02,WARRIOR,NONE,ORDINARY,NONE,NONE,51,4,50,91020,0,0,541,0,200,NONE,NONE,2,20,30,120,0,0,30,25,20,21,25,26,18,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:SHATTER:20d12
HIT:SHATTER:20d12
BITE:POISON:6d14",,,UNIQUE|CAN_SPEAK|FORCE_SLEEP|REGENERATE|KILL_WALL|RES_TELE|OPEN_DOOR|BASH_DOOR|IM_POIS|NO_CONF|NO_SLEEP|IM_ELEC|IM_COLD|IM_FIRE,,"ウリクはこの世を生きたトロルの中でも最強のトロルだ。
彼は不死なる者どもに挑んで、その力で彼らを粉々にすることが出来る。","Ulik is the strongest troll who has ever lived. He could challenge 
the immortals and pound them to dust with his great strength.

",JZ#,,,,
730,730,ミノタウロスの王『バフォメット』,Baphomet the Minotaur Lord,H,D,0,-1,MINOTAUR,MINOTAUR,0x02,WARRIOR,NONE,ORDINARY,NONE,NONE,51,4,50,18000,0,0,0,0,200,NONE,NONE,3,20,30,120,0,0,30,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BUTT:HURT:12d13
BUTT:HURT:12d13
HIT:HURT:10d10
HIT:HURT:10d10",,,UNIQUE|CAN_SPEAK|FORCE_SLEEP|BASH_DOOR|IM_FIRE|IM_POIS|RES_WALL|NO_CONF|NO_SLEEP|SLOW|SHOOT|BO_MANA|BO_PLAS|BA_ELEC|BR_WALL,,"牛の頭を持った恐るべきデーモンであるバフォメットは、刃向かう者に呪い
の言葉を吐きかけながら大きなアックスを振り回している。","A fearsome bull-headed demon, Baphomet swings a mighty axe as he curses 
all that defy him.

","J0#
J0# (コメント)
J0# 名前の訳は小林さんのものです
J0#",,,,
731,731,地獄の騎士,Hell knight,p,s,0,-1,HUMAN,HUMAN,VARIABLE,PALADIN,NONE,ORDINARY,DEATH,NONE,52,1,50,7000,0,0,0,0,200,NONE,NONE,1,10,20,0,0,0,10,23,23,23,23,23,23,5,199,12,900,4,188,12,780,4,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:10d5
HIT:HURT:10d5
HIT:HURT:10d5
HIT:EXP_80",,,FORCE_SLEEP|SMART|IM_FIRE|IM_COLD|IM_POIS|RES_NETH|RES_NEXU|RES_PLAS|COLD_BLOOD|OPEN_DOOR|BASH_DOOR|BLIND|SCARE|CAUSE_3|BA_NETH|BA_FIRE|BO_PLAS|S_MONSTERS,,"古の鎧に身を包んだ者で、ヘルメットの下から地獄の劫火に燃えさかる目が
睨んでいる。","It is a humanoid form dressed in armour of ancient style.  From beneath 
its helmet, eyes glow with hellfire.

",JZ#,,,,
732,732,馳夫『アラゴルン』,"Aragorn, the straider",p,D,0,-1,DUNADAN,DUNADAN,0x02,RANGER,1090,MUNCHIKIN,NATURE,CRUSADE,38,4,50,32120,0,0,76,0,200,NONE,NONE,0,15,40,0,0,0,0,19,19,19,19,19,19,5,195,0,900,0,195,0,900,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:10d5
HIT:HURT:10d5
HIT:HURT:10d5
SHOOT:HURT:12d5",,"ART:47:100%
ART:2:100%
ART:83:100%",UNIQUE|CAN_SPEAK|FORCE_SLEEP|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|IM_POIS|IM_FIRE|NO_CONF|NO_SLEEP|RES_TELE|S_KIN|SHOOT,,,,D'ang#,,,,
733,733,『サンタクロース』,Santa Claus,h,r,0,-1,DWARF,DWARF,0x02,NONE,NONE,ORDINARY,NONE,NONE,52,3,50,61771,0,0,0,0,200,NONE,NONE,4,40,90,100,0,0,10,23,23,23,23,23,23,5,170,0,600,0,160,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:LOSE_CHR:5d5
TOUCH:LOSE_ALL:10d1
TOUCH:LOSE_ALL:10d1
CHARGE:EAT_GOLD",,,UNIQUE|CAN_SPEAK|REFLECTING|FORCE_SLEEP|SMART|HAS_LITE_1|NO_STUN|NO_SLEEP|NO_CONF|IM_ELEC|IM_FIRE|IM_POIS|IM_COLD|COLD_BLOOD|RES_TELE|CAUSE_4|HOLD|DRAIN_MANA|SCARE|BLIND|S_UNDEAD|S_HI_UNDEAD|S_HI_DRAGON|S_UNIQUE|BA_NETH|FORGET|TRAPS|BRAIN_SMASH|TELE_AWAY,,　なぜみんなサンタクロースを倒そうとするのでしょう？もちろんプレゼントを独り占めするためです！,"Why would anybody want to kill SantaClaus? To get all the presents, of course!",JZ#,,,,
