"ID","CM","NAME","E_NAME","SEX","LEV","DR","P_STR","P_INT","P_WIS","P_DEX","P_CON","P_CHA","H_STR","H_INT","H_WIS","H_DEX","H_CON","H_CHA","P_DIS","P_DEV","P_SAV","P_STL","P_SRH","P_FOS","P_THN","P_THB","P_INFRA","H_DIS","H_DEV","H_SAV","H_STL","H_SRH","H_FOS","H_THN","H_THB","H_INFRA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","P_HITD_M","P_EXP","H_HITD_M","H_EXP","SYM","AGE","AGE_ADD","P_FLAGS","H_FLAGS","SUIT_CLASS"
"64 ","0 ","水棲生物","Aquatic-Monster","0x3","1 ","-1 ","5 ","0 ","-4 ","0 ","5 ","-2 ","2 ","0 ","-2 ","0 ","2 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"65 ","0 ","モルド","Mold","0x3","1 ","-1 ","-3 ","-3 ","-3 ","-3 ","0 ","-3 ","-1 ","-1 ","-1 ","-1 ","0 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"66 ","0 ","一般四足獣","Quadruped","0x3","1 ","-1 ","4 ","-3 ","-3 ","4 ","4 ","-1 ","2 ","-2 ","-1 ","2 ","2 ","0 ","15 ","5 ","5 ","10 ","10 ","10 ","25 ","10 ","2 ","5 ","0 ","0 ","5 ","0 ","0 ","8 ","0 ","1 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"67 ","0 ","齧歯類 ","Rodent","0x3","1 ","-1 ","-2 ","-1 ","-1 ","2 ","-1 ","-1 ","-1 ","0 ","-1 ","1 ","0 ","-1 ","7 ","2 ","2 ","12 ","15 ","15 ","10 ","10 ","5 ","2 ","-1 ","-1 ","6 ","3 ","3 ","0 ","0 ","3 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"68 ","0 ","ボルテックス","Vortex","0x3","1 ","-1 ","-3 ","-3 ","-3 ","-3 ","0 ","-3 ","-1 ","-1 ","-1 ","-1 ","0 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"69 ","0 ","ワーム","Worm","0x3","1 ","-1 ","-3 ","-3 ","-3 ","-3 ","0 ","-3 ","-1 ","-1 ","-1 ","-1 ","0 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"70 ","0 ","ミミック","Mimic","0x3","1 ","-1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"71 ","0 ","鳥類","Bird","0x3","1 ","-1 ","1 ","-1 ","1 ","1 ","2 ","0 ","1 ","0 ","1 ","0 ","1 ","0 ","25 ","8 ","10 ","13 ","10 ","25 ","20 ","-10 ","7 ","8 ","2 ","3 ","6 ","0 ","8 ","5 ","-10 ","4 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"72 ","0 ","犬","Canine","0x3","1 ","-1 ","2 ","-2 ","-2 ","4 ","4 ","0 ","1 ","-1 ","-1 ","2 ","2 ","0 ","-3 ","5 ","5 ","13 ","20 ","25 ","30 ","-10 ","7 ","-4 ","0 ","0 ","5 ","5 ","8 ","-1 ","-10 ","4 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"73 ","0 ","エレメンタル","Elemental","0x3","1 ","-1 ","0 ","3 ","3 ","-2 ","-3 ","0 ","0 ","1 ","1 ","-1 ","-2 ","0 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"74 ","0 ","昆虫","Insect","0x3","1 ","-1 ","3 ","-4 ","-4 ","2 ","4 ","-2 ","1 ","-2 ","-2 ","1 ","2 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"75 ","0 ","蛇","Snake","0x3","1 ","-1 ","0 ","-2 ","-2 ","0 ","0 ","-3 ","0 ","-1 ","-1 ","0 ","0 ","-2 ","-3 ","5 ","10 ","13 ","10 ","15 ","15 ","10 ","5 ","-4 ","0 ","3 ","6 ","0 ","3 ","2 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"76 ","0 ","影","Shadow","0x3","1 ","-1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"77 ","0 ","クイルスルグ","Quylthulg","0x3","1 ","-1 ","0 ","0 ","0 ","0 ","-4 ","0 ","0 ","0 ","0 ","0 ","-2 ","0 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"78 ","0 ","蜘蛛","Spider","0x3","1 ","-1 ","2 ","-4 ","-4 ","2 ","5 ","-2 ","1 ","-2 ","-2 ","1 ","2 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"79 ","0 ","甲殻類","Crustasea","0x3","1 ","-1 ","4 ","-3 ","-3 ","-3 ","4 ","-2 ","2 ","-1 ","-1 ","-2 ","2 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"80 ","0 ","レイス","Wraith","0x3","1 ","-1 ","-1 ","3 ","0 ","1 ","2 ","0 ","-1 ","2 ","0 ","0 ","1 ","0 ","5 ","5 ","5 ","10 ","10 ","10 ","10 ","10 ","5 ","0 ","0 ","0 ","5 ","0 ","0 ","0 ","0 ","3 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"81 ","0 ","ゾーン","Xorn","0x3","1 ","-1 ","4 ","-2 ","-2 ","-2 ","4 ","-2 ","2 ","-1 ","-1 ","-1 ","2 ","-1 ","-3 ","2 ","13 ","10 ","10 ","10 ","25 ","0 ","3 ","-2 ","0 ","-1 ","4 ","0 ","0 ","10 ","-2 ","2 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"82 ","0 ","イエティ","Yeti","0x3","1 ","-1 ","3 ","-1 ","-1 ","0 ","2 ","-1 ","2 ","0 ","0 ","0 ","1 ","0 ","2 ","4 ","3 ","9 ","10 ","10 ","20 ","5 ","3 ","-2 ","0 ","-1 ","0 ","0 ","0 ","0 ","0 ","1 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ","HUMANOID","HUMANOID",
"83 ","0 ","ゼファーハウンド","ZepherHound","0x3","1 ","-1 ","2 ","-2 ","-2 ","2 ","4 ","0 ","1 ","-1 ","-1 ","1 ","2 ","0 ","-3 ","5 ","15 ","13 ","20 ","25 ","30 ","-10 ","7 ","-2 ","0 ","5 ","7 ","5 ","8 ","10 ","-10 ","3 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"84 ","0 ","菌類","Fungus","0x3","1 ","-1 ","0 ","0 ","0 ","0 ","-2 ","0 ","0 ","0 ","0 ","0 ","-1 ","0 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"85 ","0 ","旧支配者群","Great-Old-Ones","0x3","1 ","-1 ","8 ","8 ","8 ","8 ","8 ","8 ","8 ","8 ","8 ","8 ","8 ","8 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"86 ","0 ","爬虫類","Reptilia","0x3","1 ","-1 ","4 ","-3 ","-3 ","-3 ","4 ","-2 ","2 ","-1 ","-2 ","-2 ","2 ","-1 ","-3 ","-3 ","-3 ","10 ","9 ","5 ","35 ","0 ","3 ","-4 ","-4 ","-4 ","5 ","0 ","-2 ","14 ","-5 ","2 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
